question,original_result,generated_cypher,generated_result
Identify the 5 suppliers with the highest average unit price of products supplied.,"[{""Supplier"": ""Aux joyeux eccl\u00e9siastiques"", ""AverageUnitPrice"": 140.75}, {""Supplier"": ""Tokyo Traders"", ""AverageUnitPrice"": 46.0}, {""Supplier"": ""Plutzer Lebensmittelgro\u00dfm\u00e4rkte AG"", ""AverageUnitPrice"": 44.678000000000004}, {""Supplier"": ""Gai p\u00e2turage"", ""AverageUnitPrice"": 44.5}, {""Supplier"": ""For\u00eats d'\u00e9rables"", ""AverageUnitPrice"": 38.9}]","MATCH (s:Supplier)-[:SUPPLIES]->(p:Product) WITH s, AVG(p.unitPrice) AS averageUnitPrice RETURN s.companyName AS Supplier, averageUnitPrice ORDER BY averageUnitPrice DESC LIMIT 5;","[{""Supplier"": ""Aux joyeux eccl\u00e9siastiques"", ""averageUnitPrice"": 140.75}, {""Supplier"": ""Tokyo Traders"", ""averageUnitPrice"": 46.0}, {""Supplier"": ""Plutzer Lebensmittelgro\u00dfm\u00e4rkte AG"", ""averageUnitPrice"": 44.678000000000004}, {""Supplier"": ""Gai p\u00e2turage"", ""averageUnitPrice"": 44.5}, {""Supplier"": ""For\u00eats d'\u00e9rables"", ""averageUnitPrice"": 38.9}]"
Find the `customerID` and `shipCity` for the customer with the highest total order value (sum of `unitPrice` * `quantity` for all their orders).,"[{""c.customerID"": ""QUICK"", ""shipCity"": ""Cunewalde""}]","MATCH (c:Customer)-[:PURCHASED]->(o:Order)-[r:ORDERS]->(p:Product) WITH c, SUM(r.quantity * p.unitPrice) AS totalOrderValue RETURN c.customerID AS CustomerID, c.shipCity AS ShipCity, totalOrderValue ORDER BY totalOrderValue DESC LIMIT 1;","[{""CustomerID"": ""QUICK"", ""ShipCity"": null, ""totalOrderValue"": 122199.74}]"
What is the average `unitPrice` of products that have been ordered in quantities greater than 10?,"[{""avgPrice"": 26.09897866839041}]",MATCH (o:Order)-[:ORDERS]->(p:Product) WHERE p.unitsOnOrder > 10 RETURN AVG(p.unitPrice) AS AverageUnitPrice LIMIT 50;,"[{""AverageUnitPrice"": 17.880471380471388}]"
Which 3 customers have ordered the most distinct products?,"[{""customerName"": ""Ernst Handel"", ""distinctProducts"": 56}, {""customerName"": ""Save-a-lot Markets"", ""distinctProducts"": 53}, {""customerName"": ""QUICK-Stop"", ""distinctProducts"": 49}]","MATCH (c:Customer)-[:PURCHASED]->(o:Order)-[:ORDERS]->(p:Product) WITH c, COUNT(DISTINCT p) AS distinctProductsCount RETURN c.companyName AS Customer, distinctProductsCount ORDER BY distinctProductsCount DESC LIMIT 3;","[{""Customer"": ""Ernst Handel"", ""distinctProductsCount"": 56}, {""Customer"": ""Save-a-lot Markets"", ""distinctProductsCount"": 53}, {""Customer"": ""QUICK-Stop"", ""distinctProductsCount"": 49}]"
What is the average discount applied to orders shipped to 'Denmark'?,"[{""averageDiscount"": null}]","MATCH (o:Order) WHERE toLower(o.shipCountry) = ""denmark"" WITH AVG(o.discount) AS averageDiscount RETURN averageDiscount;","[{""averageDiscount"": null}]"
What is the average unit price of products ordered by customers in the 'USA'?,"[{""avgPrice"": 29.72417613636362}]","MATCH (c:Customer) WHERE toLower(c.country) = ""usa"" MATCH (c)-[:PURCHASED]->(o:Order)-[:ORDERS]->(p:Product) RETURN AVG(p.unitPrice) AS AverageUnitPrice LIMIT 50;","[{""AverageUnitPrice"": 31.454147727272733}]"
Which suppliers supply products with a unitsInStock value above 80?,"[{""s"": {""country"": ""USA"", ""contactTitle"": ""Sales Representative"", ""address"": ""707 Oxford Rd."", ""supplierID"": ""3"", ""phone"": ""(313) 555-5735"", ""city"": ""Ann Arbor"", ""contactName"": ""Regina Murphy"", ""companyName"": ""Grandma Kelly's Homestead"", ""postalCode"": ""48104"", ""fax"": ""(313) 555-3349"", ""region"": ""MI"", ""homePage"": ""NULL""}}, {""s"": {""country"": ""Spain"", ""contactTitle"": ""Export Administrator"", ""address"": ""Calle del Rosal 4"", ""supplierID"": ""5"", ""city"": ""Oviedo"", ""phone"": ""(98) 598 76 54"", ""contactName"": ""Antonio del Valle Saavedra"", ""companyName"": ""Cooperativa de Quesos 'Las Cabras'"", ""postalCode"": ""33007"", ""region"": ""Asturias"", ""fax"": ""NULL"", ""homePage"": ""NULL""}}, {""s"": {""country"": ""Sweden"", ""contactTitle"": ""Sales Agent"", ""address"": ""Kaloadagatan 13"", ""supplierID"": ""9"", ""phone"": ""031-987 65 43"", ""city"": ""G\u00f6teborg"", ""contactName"": ""Lars Peterson"", ""companyName"": ""PB Kn\u00e4ckebr\u00f6d AB"", ""postalCode"": ""S-345 67"", ""fax"": ""031-987 65 91"", ""region"": ""NULL"", ""homePage"": ""NULL""}}, {""s"": {""country"": ""Norway"", ""contactTitle"": ""Marketing Manager"", ""address"": ""Hatlevegen 5"", ""supplierID"": ""15"", ""phone"": ""(0)2-953010"", ""city"": ""Sandvika"", ""contactName"": ""Beate Vileid"", ""companyName"": ""Norske Meierier"", ""postalCode"": ""1320"", ""region"": ""NULL"", ""fax"": ""NULL"", ""homePage"": ""NULL""}}, {""s"": {""country"": ""USA"", ""contactTitle"": ""Regional Account Rep."", ""address"": ""3400 - 8th Avenue Suite 210"", ""supplierID"": ""16"", ""phone"": ""(503) 555-9931"", ""city"": ""Bend"", ""contactName"": ""Cheryl Saylor"", ""companyName"": ""Bigfoot Breweries"", ""postalCode"": ""97101"", ""region"": ""OR"", ""fax"": ""NULL"", ""homePage"": ""NULL""}}, {""s"": {""country"": ""Sweden"", ""contactTitle"": ""Sales Representative"", ""address"": ""Brovallav\u00e4gen 231"", ""supplierID"": ""17"", ""city"": ""Stockholm"", ""phone"": ""08-123 45 67"", ""contactName"": ""Michael Bj\u00f6rn"", ""companyName"": ""Svensk Sj\u00f6f\u00f6da AB"", ""postalCode"": ""S-123 45"", ""region"": ""NULL"", ""fax"": ""NULL"", ""homePage"": ""NULL""}}, {""s"": {""country"": ""USA"", ""contactTitle"": ""Wholesale Account Agent"", ""supplierID"": ""19"", ""address"": ""Order Processing Dept. 2100 Paul Revere Blvd."", ""city"": ""Boston"", ""phone"": ""(617) 555-3267"", ""contactName"": ""Robb Merchant"", ""companyName"": ""New England Seafood Cannery"", ""postalCode"": ""02134"", ""fax"": ""(617) 555-3389"", ""region"": ""MA"", ""homePage"": ""NULL""}}, {""s"": {""country"": ""USA"", ""contactTitle"": ""Wholesale Account Agent"", ""supplierID"": ""19"", ""address"": ""Order Processing Dept. 2100 Paul Revere Blvd."", ""city"": ""Boston"", ""phone"": ""(617) 555-3267"", ""contactName"": ""Robb Merchant"", ""companyName"": ""New England Seafood Cannery"", ""postalCode"": ""02134"", ""fax"": ""(617) 555-3389"", ""region"": ""MA"", ""homePage"": ""NULL""}}, {""s"": {""country"": ""Denmark"", ""contactTitle"": ""Sales Manager"", ""address"": ""Lyngbysild Fiskebakken 10"", ""supplierID"": ""21"", ""phone"": ""43844108"", ""city"": ""Lyngby"", ""contactName"": ""Niels Petersen"", ""companyName"": ""Lyngbysild"", ""postalCode"": ""2800"", ""fax"": ""43844115"", ""region"": ""NULL"", ""homePage"": ""NULL""}}, {""s"": {""country"": ""Canada"", ""contactTitle"": ""Marketing Manager"", ""address"": ""2960 Rue St. Laurent"", ""supplierID"": ""25"", ""city"": ""Montr\u00e9al"", ""phone"": ""(514) 555-9022"", ""contactName"": ""Jean-Guy Lauzon"", ""postalCode"": ""H1J 1C3"", ""companyName"": ""Ma Maison"", ""region"": ""Qu\u00e9bec"", ""fax"": ""NULL"", ""homePage"": ""NULL""}}, {""s"": {""country"": ""Canada"", ""contactTitle"": ""Accounting Manager"", ""address"": ""148 rue Chasseur"", ""supplierID"": ""29"", ""city"": ""Ste-Hyacinthe"", ""phone"": ""(514) 555-2955"", ""contactName"": ""Chantal Goulet"", ""companyName"": ""For\u00eats d'\u00e9rables"", ""postalCode"": ""J2S 7S8"", ""fax"": ""(514) 555-2921"", ""region"": ""Qu\u00e9bec"", ""homePage"": ""NULL""}}, {""s"": {""country"": ""Sweden"", ""contactTitle"": ""Sales Representative"", ""address"": ""Brovallav\u00e4gen 231"", ""supplierID"": ""17"", ""city"": ""Stockholm"", ""phone"": ""08-123 45 67"", ""contactName"": ""Michael Bj\u00f6rn"", ""companyName"": ""Svensk Sj\u00f6f\u00f6da AB"", ""postalCode"": ""S-123 45"", ""region"": ""NULL"", ""fax"": ""NULL"", ""homePage"": ""NULL""}}, {""s"": {""country"": ""Germany"", ""contactTitle"": ""International Marketing Mgr."", ""address"": ""Bogenallee 51"", ""supplierID"": ""12"", ""phone"": ""(069) 992755"", ""city"": ""Frankfurt"", ""contactName"": ""Martin Bein"", ""companyName"": ""Plutzer Lebensmittelgro\u00dfm\u00e4rkte AG"", ""postalCode"": ""60439"", ""fax"": ""NULL"", ""region"": ""NULL"", ""homePage"": ""Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#""}}]","MATCH (s:Supplier)-[:SUPPLIES]->(p:Product) WHERE p.unitsInStock > 80 RETURN s.companyName AS Supplier, p.productName AS Product, p.unitsInStock LIMIT 50;","[{""Product"": ""Grandma's Boysenberry Spread"", ""Supplier"": ""Grandma Kelly's Homestead"", ""p.unitsInStock"": 120}, {""Product"": ""Queso Manchego La Pastora"", ""Supplier"": ""Cooperativa de Quesos 'Las Cabras'"", ""p.unitsInStock"": 86}, {""Product"": ""Gustaf's Kn\u00e4ckebr\u00f6d"", ""Supplier"": ""PB Kn\u00e4ckebr\u00f6d AB"", ""p.unitsInStock"": 104}, {""Product"": ""Geitost"", ""Supplier"": ""Norske Meierier"", ""p.unitsInStock"": 112}, {""Product"": ""Sasquatch Ale"", ""Supplier"": ""Bigfoot Breweries"", ""p.unitsInStock"": 111}, {""Product"": ""Inlagd Sill"", ""Supplier"": ""Svensk Sj\u00f6f\u00f6da AB"", ""p.unitsInStock"": 112}, {""Product"": ""Boston Crab Meat"", ""Supplier"": ""New England Seafood Cannery"", ""p.unitsInStock"": 123}, {""Product"": ""Jack's New England Clam Chowder"", ""Supplier"": ""New England Seafood Cannery"", ""p.unitsInStock"": 85}, {""Product"": ""Spegesild"", ""Supplier"": ""Lyngbysild"", ""p.unitsInStock"": 95}, {""Product"": ""P\u00e2t\u00e9 chinois"", ""Supplier"": ""Ma Maison"", ""p.unitsInStock"": 115}, {""Product"": ""Sirop d'\u00e9rable"", ""Supplier"": ""For\u00eats d'\u00e9rables"", ""p.unitsInStock"": 113}, {""Product"": ""R\u00f6d Kaviar"", ""Supplier"": ""Svensk Sj\u00f6f\u00f6da AB"", ""p.unitsInStock"": 101}, {""Product"": ""Rh\u00f6nbr\u00e4u Klosterbier"", ""Supplier"": ""Plutzer Lebensmittelgro\u00dfm\u00e4rkte AG"", ""p.unitsInStock"": 125}]"
Which categories have products with a unit price less than $10?,"[{""c.categoryName"": ""Beverages""}, {""c.categoryName"": ""Confections""}, {""c.categoryName"": ""Dairy Products""}, {""c.categoryName"": ""Grains/Cereals""}, {""c.categoryName"": ""Meat/Poultry""}, {""c.categoryName"": ""Seafood""}]",MATCH (p:Product)-[:PART_OF]->(cat:Category) WHERE p.unitPrice < 10 RETURN DISTINCT cat.categoryName AS Category LIMIT 50;,"[{""Category"": ""Beverages""}, {""Category"": ""Confections""}, {""Category"": ""Dairy Products""}, {""Category"": ""Grains/Cereals""}, {""Category"": ""Meat/Poultry""}, {""Category"": ""Seafood""}]"
List the 3 suppliers who supply the most products that have been discontinued.,"[{""s.companyName"": ""Plutzer Lebensmittelgro\u00dfm\u00e4rkte AG"", ""discontinuedProducts"": 2}, {""s.companyName"": ""Pavlova"", ""discontinuedProducts"": 1}, {""s.companyName"": ""Tokyo Traders"", ""discontinuedProducts"": 1}]","MATCH (s:Supplier)-[:SUPPLIES]->(p:Product) WHERE p.discontinued = true RETURN s.companyName AS Supplier, COUNT(p) AS NumberOfDiscontinuedProductsSupplied ORDER BY NumberOfDiscontinuedProductsSupplied DESC LIMIT 3;","[{""NumberOfDiscontinuedProductsSupplied"": 2, ""Supplier"": ""Plutzer Lebensmittelgro\u00dfm\u00e4rkte AG""}, {""NumberOfDiscontinuedProductsSupplied"": 1, ""Supplier"": ""Pavlova""}, {""NumberOfDiscontinuedProductsSupplied"": 1, ""Supplier"": ""Tokyo Traders""}]"
Which customers (show `customerID` and `companyName`) have placed orders that include the top 3 most expensive products?,"[{""c.customerID"": ""RANCH"", ""c.companyName"": ""Rancho grande""}, {""c.customerID"": ""THEBI"", ""c.companyName"": ""The Big Cheese""}, {""c.customerID"": ""PICCO"", ""c.companyName"": ""Piccolo und mehr""}, {""c.customerID"": ""HANAR"", ""c.companyName"": ""Hanari Carnes""}, {""c.customerID"": ""BERGS"", ""c.companyName"": ""Berglunds snabbk\u00f6p""}, {""c.customerID"": ""ERNSH"", ""c.companyName"": ""Ernst Handel""}, {""c.customerID"": ""SPLIR"", ""c.companyName"": ""Split Rail Beer & Ale""}, {""c.customerID"": ""TORTU"", ""c.companyName"": ""Tortuga Restaurante""}, {""c.customerID"": ""RATTC"", ""c.companyName"": ""Rattlesnake Canyon Grocery""}, {""c.customerID"": ""SANTG"", ""c.companyName"": ""Sant\u00e9 Gourmet""}, {""c.customerID"": ""SPECD"", ""c.companyName"": ""Sp\u00e9cialit\u00e9s du monde""}, {""c.customerID"": ""GREAL"", ""c.companyName"": ""Great Lakes Food Market""}, {""c.customerID"": ""SIMOB"", ""c.companyName"": ""Simons bistro""}, {""c.customerID"": ""KOENE"", ""c.companyName"": ""K\u00f6niglich Essen""}, {""c.customerID"": ""QUICK"", ""c.companyName"": ""QUICK-Stop""}, {""c.customerID"": ""BLONP"", ""c.companyName"": ""Blondesddsl p\u00e8re et fils""}, {""c.customerID"": ""MEREP"", ""c.companyName"": ""M\u00e8re Paillarde""}, {""c.customerID"": ""WHITC"", ""c.companyName"": ""White Clover Markets""}, {""c.customerID"": ""QUEEN"", ""c.companyName"": ""Queen Cozinha""}, {""c.customerID"": ""COMMI"", ""c.companyName"": ""Com\u00e9rcio Mineiro""}, {""c.customerID"": ""TRADH"", ""c.companyName"": ""Tradi\u00e7\u00e3o Hipermercados""}, {""c.customerID"": ""LEHMS"", ""c.companyName"": ""Lehmanns Marktstand""}, {""c.customerID"": ""WARTH"", ""c.companyName"": ""Wartian Herkku""}, {""c.customerID"": ""LAMAI"", ""c.companyName"": ""La maison d'Asie""}, {""c.customerID"": ""HUNGO"", ""c.companyName"": ""Hungry Owl All-Night Grocers""}, {""c.customerID"": ""FRANK"", ""c.companyName"": ""Frankenversand""}, {""c.customerID"": ""SAVEA"", ""c.companyName"": ""Save-a-lot Markets""}, {""c.customerID"": ""GODOS"", ""c.companyName"": ""Godos Cocina T\u00edpica""}, {""c.customerID"": ""EASTC"", ""c.companyName"": ""Eastern Connection""}, {""c.customerID"": ""VAFFE"", ""c.companyName"": ""Vaffeljernet""}, {""c.customerID"": ""RICSU"", ""c.companyName"": ""Richter Supermarkt""}, {""c.customerID"": ""PERIC"", ""c.companyName"": ""Pericles Comidas cl\u00e1sicas""}, {""c.customerID"": ""OLDWO"", ""c.companyName"": ""Old World Delicatessen""}, {""c.customerID"": ""FOLKO"", ""c.companyName"": ""Folk och f\u00e4 HB""}, {""c.customerID"": ""THECR"", ""c.companyName"": ""The Cracker Box""}, {""c.customerID"": ""FRANR"", ""c.companyName"": ""France restauration""}, {""c.customerID"": ""GROSR"", ""c.companyName"": ""GROSELLA-Restaurante""}, {""c.customerID"": ""PRINI"", ""c.companyName"": ""Princesa Isabel Vinhos""}, {""c.customerID"": ""BOLID"", ""c.companyName"": ""B\u00f3lido Comidas preparadas""}, {""c.customerID"": ""WELLI"", ""c.companyName"": ""Wellington Importadora""}, {""c.customerID"": ""CONSH"", ""c.companyName"": ""Consolidated Holdings""}]","MATCH (p:Product) WITH p ORDER BY p.unitPrice DESC LIMIT 3 MATCH (o:Order)-[:ORDERS]->(p) MATCH (c:Customer)-[:PURCHASED]->(o) RETURN c.customerID AS CustomerID, c.companyName AS CompanyName LIMIT 50;","[{""CompanyName"": ""Rancho grande"", ""CustomerID"": ""RANCH""}, {""CompanyName"": ""The Big Cheese"", ""CustomerID"": ""THEBI""}, {""CompanyName"": ""Piccolo und mehr"", ""CustomerID"": ""PICCO""}, {""CompanyName"": ""Hanari Carnes"", ""CustomerID"": ""HANAR""}, {""CompanyName"": ""Berglunds snabbk\u00f6p"", ""CustomerID"": ""BERGS""}, {""CompanyName"": ""Ernst Handel"", ""CustomerID"": ""ERNSH""}, {""CompanyName"": ""Split Rail Beer & Ale"", ""CustomerID"": ""SPLIR""}, {""CompanyName"": ""Hanari Carnes"", ""CustomerID"": ""HANAR""}, {""CompanyName"": ""Tortuga Restaurante"", ""CustomerID"": ""TORTU""}, {""CompanyName"": ""Rattlesnake Canyon Grocery"", ""CustomerID"": ""RATTC""}, {""CompanyName"": ""Sant\u00e9 Gourmet"", ""CustomerID"": ""SANTG""}, {""CompanyName"": ""Sp\u00e9cialit\u00e9s du monde"", ""CustomerID"": ""SPECD""}, {""CompanyName"": ""Great Lakes Food Market"", ""CustomerID"": ""GREAL""}, {""CompanyName"": ""Simons bistro"", ""CustomerID"": ""SIMOB""}, {""CompanyName"": ""K\u00f6niglich Essen"", ""CustomerID"": ""KOENE""}, {""CompanyName"": ""QUICK-Stop"", ""CustomerID"": ""QUICK""}, {""CompanyName"": ""Hanari Carnes"", ""CustomerID"": ""HANAR""}, {""CompanyName"": ""Blondesddsl p\u00e8re et fils"", ""CustomerID"": ""BLONP""}, {""CompanyName"": ""Great Lakes Food Market"", ""CustomerID"": ""GREAL""}, {""CompanyName"": ""Rattlesnake Canyon Grocery"", ""CustomerID"": ""RATTC""}, {""CompanyName"": ""QUICK-Stop"", ""CustomerID"": ""QUICK""}, {""CompanyName"": ""M\u00e8re Paillarde"", ""CustomerID"": ""MEREP""}, {""CompanyName"": ""White Clover Markets"", ""CustomerID"": ""WHITC""}, {""CompanyName"": ""Queen Cozinha"", ""CustomerID"": ""QUEEN""}, {""CompanyName"": ""Com\u00e9rcio Mineiro"", ""CustomerID"": ""COMMI""}, {""CompanyName"": ""Tradi\u00e7\u00e3o Hipermercados"", ""CustomerID"": ""TRADH""}, {""CompanyName"": ""Lehmanns Marktstand"", ""CustomerID"": ""LEHMS""}, {""CompanyName"": ""Wartian Herkku"", ""CustomerID"": ""WARTH""}, {""CompanyName"": ""La maison d'Asie"", ""CustomerID"": ""LAMAI""}, {""CompanyName"": ""Great Lakes Food Market"", ""CustomerID"": ""GREAL""}, {""CompanyName"": ""Ernst Handel"", ""CustomerID"": ""ERNSH""}, {""CompanyName"": ""Hungry Owl All-Night Grocers"", ""CustomerID"": ""HUNGO""}, {""CompanyName"": ""Frankenversand"", ""CustomerID"": ""FRANK""}, {""CompanyName"": ""Save-a-lot Markets"", ""CustomerID"": ""SAVEA""}, {""CompanyName"": ""Godos Cocina T\u00edpica"", ""CustomerID"": ""GODOS""}, {""CompanyName"": ""Berglunds snabbk\u00f6p"", ""CustomerID"": ""BERGS""}, {""CompanyName"": ""Eastern Connection"", ""CustomerID"": ""EASTC""}, {""CompanyName"": ""Vaffeljernet"", ""CustomerID"": ""VAFFE""}, {""CompanyName"": ""Richter Supermarkt"", ""CustomerID"": ""RICSU""}, {""CompanyName"": ""Ernst Handel"", ""CustomerID"": ""ERNSH""}, {""CompanyName"": ""Pericles Comidas cl\u00e1sicas"", ""CustomerID"": ""PERIC""}, {""CompanyName"": ""Old World Delicatessen"", ""CustomerID"": ""OLDWO""}, {""CompanyName"": ""Save-a-lot Markets"", ""CustomerID"": ""SAVEA""}, {""CompanyName"": ""Save-a-lot Markets"", ""CustomerID"": ""SAVEA""}, {""CompanyName"": ""QUICK-Stop"", ""CustomerID"": ""QUICK""}, {""CompanyName"": ""Blondesddsl p\u00e8re et fils"", ""CustomerID"": ""BLONP""}, {""CompanyName"": ""Folk och f\u00e4 HB"", ""CustomerID"": ""FOLKO""}, {""CompanyName"": ""Hungry Owl All-Night Grocers"", ""CustomerID"": ""HUNGO""}, {""CompanyName"": ""The Cracker Box"", ""CustomerID"": ""THECR""}, {""CompanyName"": ""Split Rail Beer & Ale"", ""CustomerID"": ""SPLIR""}]"
