question,original_result,generated_cypher,generated_result
Find the top 5 movies with the most votes.,"[{""m.title"": ""The Matrix Reloaded"", ""m.votes"": 1905}, {""m.title"": ""The Matrix Revolutions"", ""m.votes"": 1566}, {""m.title"": ""Top Gun"", ""m.votes"": 545}, {""m.title"": ""A Few Good Men"", ""m.votes"": 485}, {""m.title"": ""The Da Vinci Code"", ""m.votes"": 308}]","MATCH (m:Movie) RETURN m.title AS Movie, m.votes AS Votes ORDER BY m.votes DESC LIMIT 5;","[{""Movie"": ""The Matrix Reloaded"", ""Votes"": 1906}, {""Movie"": ""The Matrix Revolutions"", ""Votes"": 1577}, {""Movie"": ""Top Gun"", ""Votes"": 545}, {""Movie"": ""A Few Good Men"", ""Votes"": 485}, {""Movie"": ""The Da Vinci Code"", ""Votes"": 308}]"
List all movies with a 'Pretty funny at times' review summary.,"[{""m.title"": ""The Replacements""}]","MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WHERE toLower(r.summary) CONTAINS ""pretty funny at times"" RETURN m.title AS Movie, p.name AS Reviewer, r.summary AS Summary, r.rating AS Rating ORDER BY m.title LIMIT 50;","[{""Movie"": ""The Replacements"", ""Rating"": 62, ""Reviewer"": ""Angela Scope"", ""Summary"": ""Pretty funny at times""}]"
List the movies with more than 100 votes.,"[{""m.title"": ""The Matrix""}, {""m.title"": ""The Matrix Reloaded""}, {""m.title"": ""The Matrix Revolutions""}, {""m.title"": ""The Devil's Advocate""}, {""m.title"": ""A Few Good Men""}, {""m.title"": ""Top Gun""}, {""m.title"": ""Jerry Maguire""}, {""m.title"": ""As Good as It Gets""}, {""m.title"": ""Joe Versus the Volcano""}, {""m.title"": ""Cloud Atlas""}, {""m.title"": ""The Da Vinci Code""}, {""m.title"": ""Apollo 13""}, {""m.title"": ""Cast Away""}, {""m.title"": ""Bicentennial Man""}, {""m.title"": ""The Polar Express""}]","MATCH (m:Movie) WHERE m.votes > 100 RETURN m.title AS Movie, m.votes AS Votes ORDER BY m.votes DESC LIMIT 50;","[{""Movie"": ""The Matrix Reloaded"", ""Votes"": 1906}, {""Movie"": ""The Matrix Revolutions"", ""Votes"": 1577}, {""Movie"": ""Top Gun"", ""Votes"": 545}, {""Movie"": ""A Few Good Men"", ""Votes"": 485}, {""Movie"": ""The Da Vinci Code"", ""Votes"": 308}, {""Movie"": ""The Devil's Advocate"", ""Votes"": 249}, {""Movie"": ""Apollo 13"", ""Votes"": 214}, {""Movie"": ""The Polar Express"", ""Votes"": 184}, {""Movie"": ""The Matrix"", ""Votes"": 165}, {""Movie"": ""Jerry Maguire"", ""Votes"": 155}, {""Movie"": ""As Good as It Gets"", ""Votes"": 123}, {""Movie"": ""Bicentennial Man"", ""Votes"": 123}, {""Movie"": ""Cloud Atlas"", ""Votes"": 121}, {""Movie"": ""Joe Versus the Volcano"", ""Votes"": 111}, {""Movie"": ""Cast Away"", ""Votes"": 108}]"
Who are the top 3 producers by the number of movies with different taglines?,"[{""p.name"": ""Joel Silver"", ""distinctTaglines"": 6}, {""p.name"": ""Lana Wachowski"", ""distinctTaglines"": 2}, {""p.name"": ""Lilly Wachowski"", ""distinctTaglines"": 2}]","MATCH (p:Person)-[:PRODUCED]->(m:Movie) WITH p, COLLECT(DISTINCT m.tagline) AS taglines, COUNT(DISTINCT m) AS movie_count ORDER BY movie_count DESC RETURN p.name AS Producer, movie_count AS MoviesCount, taglines LIMIT 3;","[{""MoviesCount"": 6, ""Producer"": ""Joel Silver"", ""taglines"": [""Welcome to the Real World"", ""Free your mind"", ""Everything that has a beginning has an end"", ""Freedom! Forever!"", ""Speed has no limits"", ""Prepare to enter a secret world of assassins""]}, {""MoviesCount"": 2, ""Producer"": ""Lana Wachowski"", ""taglines"": [""Freedom! Forever!"", ""Prepare to enter a secret world of assassins""]}, {""MoviesCount"": 2, ""Producer"": ""Lilly Wachowski"", ""taglines"": [""Freedom! Forever!"", ""Prepare to enter a secret world of assassins""]}]"
Which people have directed movies with a budget higher than $100 million?,"[{""m"": {""tagline"": ""Welcome to the Real World"", ""votes"": 153, ""title"": ""The Matrix"", ""released"": 1999}}, {""m"": {""tagline"": ""Free your mind"", ""votes"": 1905, ""title"": ""The Matrix Reloaded"", ""released"": 2003}}, {""m"": {""tagline"": ""Everything that has a beginning has an end"", ""votes"": 1566, ""title"": ""The Matrix Revolutions"", ""released"": 2003}}, {""m"": {""tagline"": ""Evil has its winning ways"", ""votes"": 249, ""title"": ""The Devil's Advocate"", ""released"": 1997}}, {""m"": {""tagline"": ""In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."", ""votes"": 485, ""title"": ""A Few Good Men"", ""released"": 1992}}, {""m"": {""tagline"": ""I feel the need, the need for speed."", ""votes"": 545, ""title"": ""Top Gun"", ""released"": 1986}}, {""m"": {""tagline"": ""The rest of his life begins now."", ""votes"": 155, ""title"": ""Jerry Maguire"", ""released"": 2000}}, {""m"": {""tagline"": ""For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of."", ""votes"": 62, ""title"": ""Stand By Me"", ""released"": 1986}}, {""m"": {""tagline"": ""A comedy from the heart that goes for the throat."", ""votes"": 123, ""title"": ""As Good as It Gets"", ""released"": 1997}}, {""m"": {""tagline"": ""After life there is more. The end is just the beginning."", ""votes"": 35, ""title"": ""What Dreams May Come"", ""released"": 1998}}, {""m"": {""tagline"": ""First loves last. Forever."", ""votes"": 54, ""title"": ""Snow Falling on Cedars"", ""released"": 1999}}, {""m"": {""tagline"": ""At odds in life... in love on-line."", ""votes"": 61, ""title"": ""You've Got Mail"", ""released"": 1998}}, {""m"": {""tagline"": ""What if someone you never met, someone you never saw, someone you never knew was the only someone for you?"", ""votes"": 47, ""title"": ""Sleepless in Seattle"", ""released"": 1993}}, {""m"": {""tagline"": ""A story of love, lava and burning desire."", ""votes"": 111, ""title"": ""Joe Versus the Volcano"", ""released"": 1990}}, {""m"": {""tagline"": ""Can two friends sleep together and still love each other in the morning?"", ""votes"": 39, ""title"": ""When Harry Met Sally"", ""released"": 1998}}, {""m"": {""tagline"": ""In every life there comes a time when that thing you dream becomes that thing you do"", ""votes"": 29, ""title"": ""That Thing You Do"", ""released"": 1996}}, {""m"": {""tagline"": ""Pain heals, Chicks dig scars... Glory lasts forever"", ""votes"": 24, ""title"": ""The Replacements"", ""released"": 2000}}, {""m"": {""tagline"": ""Based on the extraordinary true story of one man's fight for freedom"", ""votes"": 13, ""title"": ""RescueDawn"", ""released"": 2006}}, {""m"": {""tagline"": ""Come as you are"", ""votes"": 60, ""title"": ""The Birdcage"", ""released"": 1996}}, {""m"": {""tagline"": ""It's a hell of a thing, killing a man"", ""votes"": 58, ""title"": ""Unforgiven"", ""released"": 1992}}, {""m"": {""tagline"": ""The hottest data on earth. In the coolest head in town"", ""votes"": 40, ""title"": ""Johnny Mnemonic"", ""released"": 1995}}, {""m"": {""tagline"": ""Everything is connected"", ""votes"": 121, ""title"": ""Cloud Atlas"", ""released"": 2012}}, {""m"": {""tagline"": ""Break The Codes"", ""votes"": 308, ""title"": ""The Da Vinci Code"", ""released"": 2006}}, {""m"": {""tagline"": ""Freedom! Forever!"", ""votes"": 29, ""title"": ""V for Vendetta"", ""released"": 2006}}, {""m"": {""tagline"": ""Speed has no limits"", ""votes"": 30, ""title"": ""Speed Racer"", ""released"": 2008}}, {""m"": {""tagline"": ""Prepare to enter a secret world of assassins"", ""votes"": 15, ""title"": ""Ninja Assassin"", ""released"": 2009}}, {""m"": {""tagline"": ""Walk a mile you'll never forget."", ""votes"": 74, ""title"": ""The Green Mile"", ""released"": 1999}}, {""m"": {""tagline"": ""400 million people were waiting for the truth."", ""votes"": 1, ""title"": ""Frost/Nixon"", ""released"": 2008}}, {""m"": {""tagline"": ""He didn't want law. He wanted justice."", ""votes"": 60, ""title"": ""Hoffa"", ""released"": 1992}}, {""m"": {""tagline"": ""Houston, we have a problem."", ""votes"": 214, ""title"": ""Apollo 13"", ""released"": 1995}}, {""m"": {""tagline"": ""Don't Breathe. Don't Look Back."", ""votes"": 38, ""title"": ""Twister"", ""released"": 1996}}, {""m"": {""tagline"": ""At the edge of the world, his journey begins."", ""votes"": 108, ""title"": ""Cast Away"", ""released"": 2000}}, {""m"": {""tagline"": ""If he's crazy, what does that make you?"", ""votes"": 43, ""title"": ""One Flew Over the Cuckoo's Nest"", ""released"": 1975}}, {""m"": {""votes"": 57, ""title"": ""Something's Gotta Give"", ""released"": 2003}}, {""m"": {""tagline"": ""One robot's 200 year journey to become an ordinary man."", ""votes"": 123, ""title"": ""Bicentennial Man"", ""released"": 1999}}, {""m"": {""tagline"": ""A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire."", ""votes"": 25, ""title"": ""Charlie Wilson's War"", ""released"": 2007}}, {""m"": {""tagline"": ""This Holiday Season\u2026 Believe"", ""votes"": 184, ""title"": ""The Polar Express"", ""released"": 2004}}, {""m"": {""tagline"": ""Once in a lifetime you get a chance to do something different."", ""votes"": 72, ""title"": ""A League of Their Own"", ""released"": 1992}}]",,"""Sorry, I couldn't find an answer to your question"""
What are the roles of Keanu Reeves in 'The Matrix'?,"[{""roles"": [""Neo""]}]","MATCH (p:Person {name: ""Keanu Reeves""})-[r:ACTED_IN]->(m:Movie {title: ""The Matrix""}) RETURN p.name AS Actor, m.title AS Movie, r.roles AS Roles LIMIT 20;","[{""Actor"": ""Keanu Reeves"", ""Movie"": ""The Matrix"", ""Roles"": [""Neo""]}]"
List all people who have written and directed the same movie.,"[{""p.name"": ""Cameron Crowe""}, {""p.name"": ""Lana Wachowski""}, {""p.name"": ""Lilly Wachowski""}, {""p.name"": ""Nancy Meyers""}]","MATCH (p:Person)-[w:WROTE]->(m:Movie)<-[d:DIRECTED]-(p) RETURN p.name AS Person, m.title AS Movie LIMIT 50;","[{""Movie"": ""Jerry Maguire"", ""Person"": ""Cameron Crowe""}, {""Movie"": ""Speed Racer"", ""Person"": ""Lana Wachowski""}, {""Movie"": ""Speed Racer"", ""Person"": ""Lilly Wachowski""}, {""Movie"": ""Something's Gotta Give"", ""Person"": ""Nancy Meyers""}]"
Which top 5 people have directed movies with more than 200 votes?,"[{""director"": ""Ron Howard"", ""num_movies"": 2}, {""director"": ""Lana Wachowski"", ""num_movies"": 2}, {""director"": ""Lilly Wachowski"", ""num_movies"": 2}, {""director"": ""Taylor Hackford"", ""num_movies"": 1}, {""director"": ""Tony Scott"", ""num_movies"": 1}]","MATCH (p:Person)-[:DIRECTED]->(m:Movie) WHERE m.votes > 200 WITH p, COUNT(m) AS directed_movies_count ORDER BY directed_movies_count DESC RETURN p.name AS Director, directed_movies_count AS MoviesDirected LIMIT 5;","[{""Director"": ""Ron Howard"", ""MoviesDirected"": 2}, {""Director"": ""Lana Wachowski"", ""MoviesDirected"": 2}, {""Director"": ""Lilly Wachowski"", ""MoviesDirected"": 2}, {""Director"": ""Taylor Hackford"", ""MoviesDirected"": 1}, {""Director"": ""Tony Scott"", ""MoviesDirected"": 1}]"
List the names of people who acted in movies directed by Nancy Meyers.,"[{""a.name"": ""Keanu Reeves""}, {""a.name"": ""Diane Keaton""}, {""a.name"": ""Jack Nicholson""}]","MATCH (p:Person)-[r:ACTED_IN]->(m:Movie)<-[:DIRECTED]-(d:Person {name: ""Nancy Meyers""}) RETURN DISTINCT p.name AS Actor LIMIT 50;","[{""Actor"": ""Keanu Reeves""}, {""Actor"": ""Diane Keaton""}, {""Actor"": ""Jack Nicholson""}]"
What are the top 3 highest rated reviews and which movies they are associated with?,"[{""movie"": ""The Replacements"", ""rating"": 100, ""review"": ""The coolest football movie ever""}, {""movie"": ""Cloud Atlas"", ""rating"": 95, ""review"": ""An amazing journey""}, {""movie"": ""Jerry Maguire"", ""rating"": 92, ""review"": ""You had me at Jerry""}]","MATCH (p:Person)-[r:REVIEWED]->(m:Movie) RETURN m.title AS Movie, r.rating AS Rating, r.summary AS Summary ORDER BY r.rating DESC LIMIT 3;","[{""Movie"": ""The Replacements"", ""Rating"": 100, ""Summary"": ""The coolest football movie ever""}, {""Movie"": ""Cloud Atlas"", ""Rating"": 95, ""Summary"": ""An amazing journey""}, {""Movie"": ""Jerry Maguire"", ""Rating"": 92, ""Summary"": ""You had me at Jerry""}]"
